             Species               Y       Hg(molar)       Hl(molar)       Y*(Hg-Hl)
                  AR       0.000E+00       1.665E+03       0.000E+00       0.000E+00
                  H2       0.000E+00       2.342E+03       0.000E+00       0.000E+00
                   H       0.000E+00       5.377E+04       0.000E+00       0.000E+00
                   O       0.000E+00       6.127E+04       0.000E+00       0.000E+00
                 H2O       1.011E-02      -5.500E+04      -6.512E+04       1.024E+02
                  OH       0.000E+00       1.177E+04       0.000E+00       0.000E+00
                  O2       0.000E+00       2.467E+03       0.000E+00       0.000E+00
                 HO2       0.000E+00       6.104E+03       0.000E+00       0.000E+00
                H2O2       0.000E+00      -2.857E+04       0.000E+00      -0.000E+00
                CH2O       4.180E-02      -2.257E+04      -3.801E+04       6.457E+02
                 HCO       4.202E-03       1.308E+04       1.230E+04       3.281E+00
                  CO       1.026E-03      -2.404E+04      -2.553E+04       1.535E+00
                 CO2       2.915E-04      -9.059E+04      -9.496E+04       1.276E+00
                   N       0.000E+00       1.146E+05       0.000E+00       0.000E+00
                  NH       0.000E+00       8.765E+04       0.000E+00       0.000E+00
                  NO       8.115E-03       2.425E+04       2.061E+04       2.953E+01
                  N2       2.796E-02       2.369E+03       2.419E+03      -1.390E+00
                 NO2       2.002E-02       1.157E+04       4.875E+03       1.341E+02
                 N2O       6.072E-02       2.307E+04       2.010E+04       1.807E+02
                 HNO       6.372E-09       2.836E+04       2.852E+04      -1.014E-06
                HONO       3.474E-03      -1.403E+04      -2.424E+04       3.547E+01
                 NO3       0.000E+00       2.260E+04       0.000E+00       0.000E+00
                HNO3       0.000E+00      -2.659E+04       0.000E+00      -0.000E+00
                 NH2       0.000E+00       4.876E+04       0.000E+00       0.000E+00
                 NNH       1.909E-09       6.271E+04       6.305E+04      -6.382E-07
                 NH3       0.000E+00      -7.694E+03       0.000E+00      -0.000E+00
                 HCN       2.609E-02       3.452E+04       2.708E+04       1.943E+02
                  CN       0.000E+00       1.072E+05       0.000E+00       0.000E+00
                 NCO       0.000E+00       3.516E+04       0.000E+00       0.000E+00
                HOCN       0.000E+00       1.393E+03       0.000E+00       0.000E+00
                HNCO       4.106E-07      -2.392E+04      -3.418E+04       4.213E-03
                 HNC       0.000E+00       4.937E+04       0.000E+00       0.000E+00
                C2N2       0.000E+00       7.906E+04       0.000E+00       0.000E+00
                 NCN       0.000E+00       1.104E+05       0.000E+00       0.000E+00
                 CNO       0.000E+00       9.703E+04       0.000E+00       0.000E+00
                HCNO       0.000E+00       4.532E+04       0.000E+00       0.000E+00
                H2CN       1.542E-08       6.281E+04       6.024E+04       3.965E-05
               H2CNH       3.223E-07       2.454E+04       1.776E+04       2.187E-03
               H2CNO       0.000E+00       5.806E+04       0.000E+00       0.000E+00
              H2CNNO       1.150E-06       6.018E+04       4.605E+04       1.625E-02
             H2CNNO2       1.102E-03       3.884E+04       2.473E+04       1.555E+01
                 HMX       7.504E-01       8.607E+04       5.713E+04       2.172E+04
                HMXR       0.000E+00       1.190E+05       0.000E+00       0.000E+00
               HMXRO       0.000E+00       1.308E+05       0.000E+00       0.000E+00
               HCOOH       3.667E-02      -8.533E+04      -9.673E+04       4.180E+02
                HOCO       3.638E-06      -4.027E+04      -4.027E+04       0.000E+00
                OCHO       3.531E-10      -2.643E+04      -2.433E+04      -7.395E-07
