          x(cm)         Temp(K)           dT/dx
       0.000000         463.000       3.958E+03
       0.000010         463.040       3.959E+03
       0.000020         463.079       3.960E+03
       0.000030         463.119       3.961E+03
       0.000040         463.158       3.962E+03
       0.000050         463.198       3.963E+03
       0.000060         463.238       3.964E+03
       0.000070         463.277       3.965E+03
       0.000080         463.317       3.966E+03
       0.000090         463.357       3.967E+03
       0.000100         463.396       3.968E+03
       0.000110         463.436       3.969E+03
       0.000120         463.476       3.970E+03
       0.000130         463.515       3.971E+03
       0.000140         463.555       3.972E+03
       0.000150         463.595       3.973E+03
       0.000160         463.635       3.974E+03
       0.000170         463.674       3.975E+03
       0.000180         463.714       3.976E+03
       0.000190         463.754       3.977E+03
       0.000200         463.794       3.977E+03
       0.000210         463.833       3.978E+03
       0.000220         463.873       3.979E+03
       0.000230         463.913       3.980E+03
       0.000240         463.953       3.981E+03
       0.000250         463.993       3.982E+03
       0.000260         464.032       3.983E+03
       0.000270         464.072       3.984E+03
       0.000280         464.112       3.985E+03
       0.000290         464.152       3.986E+03
       0.000300         464.192       3.987E+03
       0.000310         464.232       3.988E+03
       0.000320         464.272       3.989E+03
       0.000330         464.311       3.990E+03
       0.000340         464.351       3.991E+03
       0.000350         464.391       3.992E+03
       0.000360         464.431       3.993E+03
       0.000370         464.471       3.994E+03
       0.000380         464.511       3.995E+03
       0.000390         464.551       3.996E+03
       0.000400         464.591       3.997E+03
       0.000410         464.631       3.998E+03
       0.000420         464.671       3.999E+03
       0.000430         464.711       4.000E+03
       0.000440         464.751       4.001E+03
       0.000450         464.791       4.002E+03
       0.000460         464.831       4.003E+03
       0.000470         464.871       4.004E+03
       0.000480         464.911       4.005E+03
       0.000490         464.951       4.006E+03
       0.000500         464.991       4.007E+03
       0.000510         465.031       4.008E+03
       0.000520         465.071       4.009E+03
       0.000530         465.112       4.010E+03
       0.000540         465.152       4.011E+03
       0.000550         465.192       4.012E+03
       0.000560         465.232       4.013E+03
       0.000570         465.272       4.014E+03
       0.000580         465.312       4.015E+03
       0.000590         465.352       4.016E+03
       0.000600         465.392       4.017E+03
       0.000610         465.433       4.018E+03
       0.000620         465.473       4.019E+03
       0.000630         465.513       4.020E+03
       0.000640         465.553       4.021E+03
       0.000650         465.593       4.022E+03
       0.000660         465.634       4.023E+03
       0.000670         465.674       4.024E+03
       0.000680         465.714       4.025E+03
       0.000690         465.754       4.026E+03
       0.000700         465.795       4.027E+03
       0.000710         465.835       4.028E+03
       0.000720         465.875       4.029E+03
       0.000730         465.915       4.030E+03
       0.000740         465.956       4.031E+03
       0.000750         465.996       4.032E+03
       0.000760         466.036       4.033E+03
       0.000770         466.077       4.034E+03
       0.000780         466.117       4.035E+03
       0.000790         466.157       4.036E+03
       0.000800         466.198       4.037E+03
       0.000810         466.238       4.038E+03
       0.000820         466.279       4.039E+03
       0.000830         466.319       4.040E+03
       0.000840         466.359       4.041E+03
       0.000850         466.400       4.042E+03
       0.000860         466.440       4.043E+03
       0.000870         466.481       4.044E+03
       0.000880         466.521       4.045E+03
       0.000890         466.561       4.046E+03
       0.000900         466.602       4.047E+03
       0.000910         466.642       4.048E+03
       0.000920         466.683       4.049E+03
       0.000930         466.723       4.050E+03
       0.000940         466.764       4.051E+03
       0.000950         466.804       4.052E+03
       0.000960         466.845       4.053E+03
       0.000970         466.885       4.054E+03
       0.000980         466.926       4.055E+03
       0.000990         466.967       4.056E+03
       0.001000         467.007       4.057E+03
       0.001010         467.048       4.058E+03
       0.001020         467.088       4.059E+03
       0.001030         467.129       4.060E+03
       0.001040         467.169       4.061E+03
       0.001050         467.210       4.062E+03
       0.001060         467.251       4.063E+03
       0.001070         467.291       4.064E+03
       0.001080         467.332       4.065E+03
       0.001090         467.373       4.066E+03
       0.001100         467.413       4.067E+03
       0.001110         467.454       4.068E+03
       0.001120         467.495       4.069E+03
       0.001130         467.535       4.070E+03
       0.001140         467.576       4.071E+03
       0.001150         467.617       4.072E+03
       0.001160         467.657       4.073E+03
       0.001170         467.698       4.074E+03
       0.001180         467.739       4.075E+03
       0.001190         467.780       4.076E+03
       0.001200         467.820       4.077E+03
       0.001210         467.861       4.078E+03
       0.001220         467.902       4.079E+03
       0.001230         467.943       4.080E+03
       0.001240         467.984       4.081E+03
       0.001250         468.024       4.082E+03
       0.001260         468.065       4.083E+03
       0.001270         468.106       4.084E+03
       0.001280         468.147       4.085E+03
       0.001290         468.188       4.086E+03
       0.001300         468.229       4.087E+03
       0.001310         468.270       4.088E+03
       0.001320         468.310       4.089E+03
       0.001330         468.351       4.090E+03
       0.001340         468.392       4.091E+03
       0.001350         468.433       4.092E+03
       0.001360         468.474       4.093E+03
       0.001370         468.515       4.094E+03
       0.001380         468.556       4.095E+03
       0.001390         468.597       4.096E+03
       0.001400         468.638       4.097E+03
       0.001410         468.679       4.098E+03
       0.001420         468.720       4.099E+03
       0.001430         468.761       4.100E+03
       0.001440         468.802       4.101E+03
       0.001450         468.843       4.102E+03
       0.001460         468.884       4.103E+03
       0.001470         468.925       4.104E+03
       0.001480         468.966       4.105E+03
       0.001490         469.007       4.106E+03
       0.001500         469.048       4.107E+03
       0.001510         469.089       4.108E+03
       0.001520         469.130       4.109E+03
       0.001530         469.171       4.110E+03
       0.001540         469.212       4.111E+03
       0.001550         469.254       4.112E+03
       0.001560         469.295       4.113E+03
       0.001570         469.336       4.114E+03
       0.001580         469.377       4.115E+03
