z (m),u (m/s),V (1/s),T (K),rho (kg/m3),AR,H2,H,O,H2O,OH,O2,HO2,H2O2,CH2O,HCO,CO,CO2,N,NH,NO,N2,NO2,N2O,HNO,HONO,NO3,HNO3,NH2,NNH,NH3,HCN,CN,NCO,HOCN,HNCO,HNC,C2N2,NCN,CNO,HCNO,H2CN,H2CNH,H2CNO,H2CNNO,H2CNNO2,HMX,HMXR,HMXRO,HCOOH,HOCO,OCHO,ONNO2,ONTNTA,INT279a,INT249a,INT202a,INT101a,INT121a,INT121b,INT90a,INT62a,INT206e,INT132a,INT86a,INT86e,INT162b,INT132d,CH2NHCHO,CH2NCO,INT105a,INT75f,INT120b,INT295a,INT74a,INT92a,INT250a,INT220a,INT191d,INT117b,INT233a,INT232a,RDXRO,INT176,INT149,MNH
0.0,0.483986432616,0.0,633.385430424,1.3740054579784275,-4.28782109009e-20,0.0316197862491,7.86909372775e-06,2.23268874907e-09,0.141198905069,2.43601363225e-05,9.71503358859e-05,2.32233187001e-07,1.15224234627e-06,0.0648034471898,0.000152598761647,0.0497009410212,0.0136611139882,1.79545865689e-12,6.2846571792e-12,0.112178952418,0.0674484928034,0.0440162889115,0.105264656831,0.00262351102159,0.0124527883826,2.90707435901e-11,7.08826746804e-05,8.54594928577e-09,7.6605900743e-11,0.000328540593218,0.129300551953,1.10919783625e-10,6.17052041976e-10,7.02644528254e-05,0.00131770744781,0.00046015056634,0.000106571471367,8.35696392762e-09,2.96900799492e-10,3.19576712092e-05,0.000681342117828,0.0225266451204,5.42268808578e-07,0.000908693167315,0.00859675240577,0.150796672269,1.15871336513e-06,0.00345892229773,0.0349630728602,7.83916022053e-10,7.3305957027e-14,3.19892786955e-06,2.02385489639e-05,1.01700607418e-14,0.000291759851393,3.61286200301e-07,2.46343919137e-07,3.36824630946e-06,1.99057124789e-05,8.45740621277e-06,5.25266566846e-10,6.98526450153e-10,1.3116735658e-08,1.57429386446e-05,1.20646728895e-08,8.55132995433e-06,5.02933789307e-10,7.68811295342e-07,3.18857942135e-06,2.78585403043e-06,1.42325312506e-10,9.6276215127e-11,1.04835937711e-12,2.39864563722e-09,1.58093961704e-13,6.322268224e-12,2.50530710215e-09,1.01049232093e-13,9.51752423046e-15,5.48650057892e-10,6.72579290232e-16,1.89606741153e-09,1.54752876748e-08,0.000748680379377,7.4688772875e-12
1.14440917969e-09,0.484003317142,0.0,633.398055376,1.373957525600701,-4.28776038405e-20,0.0316199082114,7.86911089421e-06,2.23270756762e-09,0.141200071778,2.43603976856e-05,9.71516029278e-05,2.32236900544e-07,1.15226183404e-06,0.0648027727269,0.000152418107282,0.0497016662959,0.0136613681275,1.79547395853e-12,6.28472883989e-12,0.11218014668,0.0674483670617,0.0440164748607,0.1052646508,0.00262355254358,0.0124529212951,2.90713575138e-11,7.0884354071e-05,8.54606098983e-09,7.65232485079e-11,0.000328545284259,0.129301523784,1.10921647574e-10,6.17064651535e-10,7.0266093846e-05,0.00131773642107,0.00046015943704,0.000106574209502,8.35714281541e-09,2.96906765932e-10,3.19583918852e-05,0.000681354797039,0.0225270608427,5.42280181343e-07,0.00090871687473,0.00859697267525,0.150792506718,1.15879514156e-06,0.0034591634001,0.0349625941196,6.60586693169e-10,6.21315322839e-14,3.02955940636e-06,2.02264973583e-05,8.97029304489e-15,0.00029177980676,3.61293067437e-07,2.46352225686e-07,3.36614709734e-06,1.9906521996e-05,8.45766919547e-06,5.25280221816e-10,1.6283800874e-10,1.31167656599e-08,1.57429972463e-05,1.2065072631e-08,8.55106673e-06,5.01616341316e-10,7.68822472783e-07,3.18838384645e-06,2.78576073149e-06,1.42265153189e-10,2.84656857317e-11,1.33439796293e-15,2.39869652101e-09,1.58099451632e-13,6.32262506099e-12,2.50544525356e-09,1.01054712772e-13,9.51799537289e-15,5.48652486917e-10,5.96096163463e-16,1.89617139811e-09,1.54761640525e-08,0.000748716228644,7.46911431726e-12
2.28881835938e-09,0.484020199628,0.0,633.410683566,1.3739096023543111,-4.28770018352e-20,0.0316200301846,7.86912175897e-06,2.23272609222e-09,0.141201238643,2.43606537561e-05,9.71528701514e-05,2.32240562739e-07,1.15228132354e-06,0.0648020983779,0.000152237681827,0.0497023915009,0.0136616221858,1.79548875036e-12,6.28480037192e-12,0.112181335907,0.0674482414273,0.0440166540681,0.10526464493,0.00262359398521,0.0124530541268,2.90719926903e-11,7.08860328675e-05,8.54617210628e-09,7.64408753001e-11,0.000328549975773,0.129302495859,1.10923537956e-10,6.17077223822e-10,7.02677350469e-05,0.00131776539747,0.000460168308709,0.000106576947951,8.35732184052e-09,2.96912705354e-10,3.19591126348e-05,0.000681367638547,0.0225274766133,5.42291704655e-07,0.000908740354649,0.00859719277006,0.150788342532,1.1588770505e-06,0.00345940453893,0.0349621154551,5.56652409496e-10,5.2659751076e-14,2.86980259764e-06,2.02144538889e-05,7.91194029895e-15,0.000291799765134,3.61299937235e-07,2.46360533432e-07,3.364091093e-06,1.99072877709e-05,8.45793220554e-06,5.25293881719e-10,3.79614292052e-11,1.28083685498e-08,1.57430452415e-05,1.20654724189e-08,8.55080354392e-06,5.00302200216e-10,7.68833649763e-07,3.1881882813e-06,2.78566744287e-06,1.42205017791e-10,8.41658910435e-12,2.37972061806e-18,2.39874754304e-09,1.58104987797e-13,6.32485733819e-12,2.50558342818e-09,1.01060438034e-13,9.51847925291e-15,5.48654919425e-10,5.28301872867e-16,1.89628228952e-09,1.54770544231e-08,0.000748752082496,7.46963378839e-12
3.43322753906e-09,0.484037080566,0.0,633.423314842,1.3738616868455737,-4.28764068025e-20,0.0316201521674,7.86912633442e-06,2.2327443227e-09,0.141202405647,2.43609045314e-05,9.71541375437e-05,2.3224417362e-07,1.15230081458e-06,0.064801424132,0.000152057484957,0.0497031166285,0.0136618761633,1.79550303227e-12,6.28487177185e-12,0.112182520396,0.0674481158904,0.0440168269391,0.10526463922,0.00262363534618,0.0124531868779,2.90726490659e-11,7.08877110528e-05,8.54628263367e-09,7.63587801169e-11,0.000328554667711,0.129303468155,1.1092545465e-10,6.17089758614e-10,7.02693764114e-05,0.00131779437671,0.000460177181255,0.000106579686685,8.3575010011e-09,2.96918617694e-10,3.19598334507e-05,0.000681380642007,0.0225278924279,5.42303378273e-07,0.00090876360713,0.00859741287456,0.150784179563,1.15895909111e-06,0.00345964571175,0.03496163686,4.69061261017e-10,4.46310192644e-14,2.71911099868e-06,2.02024185365e-05,6.978322418e-15,0.000291819726308,3.61306809471e-07,2.46368842276e-07,3.36207733481e-06,1.99080107696e-05,8.45819524028e-06,5.25307546416e-10,8.84999750537e-12,1.24374647343e-08,1.57430828743e-05,1.20658722492e-08,8.55054039228e-06,4.98991357872e-10,7.68844826076e-07,3.18799272511e-06,2.78557416359e-06,1.42144906268e-10,2.4886419686e-12,6.78481279856e-19,2.39879870262e-09,1.58110569767e-13,6.32709118174e-12,2.50572162457e-09,1.01066406043e-13,9.51897597948e-15,5.48657355102e-10,4.6820854931e-16,1.89640002119e-09,1.5477958785e-08,0.000748787940567,7.47041132783e-12
4.57763671875e-09,0.48405396009,0.0,633.435948994,1.3738137786922058,-4.28758169985e-20,0.0316202741591,7.86912463302e-06,2.23276225896e-09,0.141203572779,2.43611500098e-05,9.71554050965e-05,2.32247733235e-07,1.15232030704e-06,0.0648007499825,0.000151877516355,0.049703841674,0.0136621300611,1.79551680417e-12,6.28494303649e-12,0.112183700425,0.067447990445,0.0440169938477,0.105264633663,0.00262367662633,0.0124533195494,2.90733265891e-11,7.08893886164e-05,8.54639257101e-09,7.62769619627e-11,0.000328559360044,0.129304440657,1.10927397542e-10,6.17102255737e-10,7.02710179291e-05,0.00131782335862,0.000460186054621,0.000106582425686,8.35768029604e-09,2.96924502906e-10,3.19605543282e-05,0.000681393807121,0.022528308284,5.42315201999e-07,0.000908786632327,0.00859763303073,0.15078001772,1.15904126288e-06,0.00345988691703,0.0349611583304,3.95241288226e-10,3.78252967943e-14,2.57696912545e-06,2.01903912871e-05,6.15472436294e-15,0.000291839690156,3.61313684006e-07,2.46377152157e-07,3.36010488281e-06,1.99086919398e-05,8.45845829803e-06,5.25321215821e-10,2.06327727025e-12,1.2061093651e-08,1.57431104421e-05,1.20662721193e-08,8.55027727275e-06,4.97683806235e-10,7.68856001601e-07,3.1877971774e-06,2.78548089305e-06,1.42084818591e-10,7.35869076562e-13,6.7881362221e-19,2.3988499993e-09,1.58116197131e-13,6.3293261821e-12,2.50585984188e-09,1.01072615001e-13,9.51948565768e-15,5.48659793753e-10,4.1494050045e-16,1.89652452955e-09,1.54788771397e-08,0.00074882380263,7.47142467393e-12
5.72204589844e-09,0.484070838328,0.0,633.448585806,1.3737658775312245,-4.28752339743e-20,0.0316203961591,7.8691166672e-06,2.23277990092e-09,0.14120474003,2.43613901901e-05,9.71566728034e-05,2.32251241636e-07,1.15233980082e-06,0.0648000759241,0.00015169777571,0.0497045666338,0.01366238388,1.79553006601e-12,6.28501416279e-12,0.112184876254,0.0674478650864,0.0440171551439,0.105264628251,0.00262371782559,0.0124534521425,2.90740252124e-11,7.08910655498e-05,8.54650191741e-09,7.61954198483e-11,0.000328564052747,0.129305413353,1.10929366522e-10,6.17114715031e-10,7.02726595916e-05,0.00131785234305,0.000460194928763,0.000106585164941,8.35785972439e-09,2.96930360956e-10,3.19612752637e-05,0.00068140713361,0.0225287241793,5.42327175653e-07,0.000908809430419,0.00859785324742,0.150775856926,1.15912356541e-06,0.00346012815356,0.0349606798627,3.33024947161e-10,3.20560661072e-14,2.44289070005e-06,2.01783721279e-05,5.42816442379e-15,0.000291859656574,3.61320560731e-07,2.46385463023e-07,3.35817281787e-06,1.99093322091e-05,8.45872137744e-06,5.25334889865e-10,4.81045166487e-13,1.16922738542e-08,1.57431282471e-05,1.20666720271e-08,8.55001418342e-06,4.96379537306e-10,7.68867176237e-07,3.18760163778e-06,2.78538763076e-06,1.42024754737e-10,2.17595796141e-13,6.79443334508e-19,2.39890143275e-09,1.5812186949e-13,6.33156230686e-12,2.50599807941e-09,1.01079063126e-13,9.52000838771e-15,5.48662235224e-10,3.67721459494e-16,1.89665575171e-09,1.54798094892e-08,0.000748859668502,7.47265349264e-12
6.86645507813e-09,0.484087715323,0.0,633.461225068,1.373717983236292,-4.28746562731e-20,0.0316205181668,7.8691024494e-06,2.2327972485e-09,0.141205907393,2.43616250712e-05,9.71579406584e-05,2.32254698877e-07,1.15235929582e-06,0.064799401952,0.00015151826271,0.0497052915044,0.0136626376206,1.79554281775e-12,6.28508514768e-12,0.112186048127,0.0674477398101,0.0440173111573,0.105264622977,0.00262375894386,0.0124535846578,2.90747448868e-11,7.08927418452e-05,8.54661067207e-09,7.61141527873e-11,0.0003285687458,0.129306386234,1.10931361478e-10,6.17127136343e-10,7.02743013913e-05,0.00131788132986,0.000460203803638,0.000106587904437,8.35803928534e-09,2.96936191811e-10,3.19619962538e-05,0.000681420621199,0.022529140112,5.42339299057e-07,0.0009088320016,0.00859807352583,0.150771697115,1.15920599832e-06,0.00346036942019,0.0349602014542,2.80585444881e-10,2.71652188663e-14,2.31641698943e-06,2.01663610472e-05,4.78718977838e-15,0.00029187962547,3.61327439542e-07,2.4639377483e-07,3.35628024119e-06,1.99099324851e-05,8.45898447728e-06,5.25348568487e-10,1.1215741149e-13,1.13337704067e-08,1.57431365859e-05,1.20670719708e-08,8.54975112259e-06,4.9507854311e-10,7.68878349896e-07,3.1874061059e-06,2.78529437628e-06,1.41964714681e-10,6.43446235028e-14,6.80074042304e-19,2.39895300264e-09,1.5812758645e-13,6.33379952495e-12,2.5061363365e-09,1.01085748653e-13,9.52054426463e-15,5.48664679371e-10,3.25863280624e-16,1.89679362545e-09,1.54807558352e-08,0.000748895538015,7.4740792101e-12
8.01086425781e-09,0.48410459117,0.0,633.473866584,1.3736700955358663,-4.28740852514e-20,0.0316206401816,7.86908199204e-06,2.23281430165e-09,0.141207074861,2.43618546519e-05,9.71592086559e-05,2.32258105014e-07,1.15237879197e-06,0.0647987280615,0.000151338977048,0.0497060162827,0.0136628912835,1.79555505935e-12,6.28515598817e-12,0.112187216276,0.0674476146119,0.0440174621988,0.105264617832,0.0026237999811,0.0124537170958,2.90754855634e-11,7.08944174956e-05,8.54671883422e-09,7.60331597983e-11,0.000328573439181,0.129307359289,1.10933382301e-10,6.17139519524e-10,7.0275943321e-05,0.00131791031892,0.00046021267921,0.000106590644162,8.35821897809e-09,2.9694199544e-10,3.19627172955e-05,0.000681434269617,0.0225295560802,5.42351572036e-07,0.000908854346068,0.00859829386539,0.150767538224,1.15928856127e-06,0.00346061071591,0.0349597231019,2.36383090958e-10,2.30187221387e-14,2.19711524316e-06,2.01543580334e-05,4.22169612368e-15,0.000291899596757,3.61334320346e-07,2.46402087535e-07,3.35442627379e-06,1.99104936554e-05,8.45924759641e-06,5.25362251626e-10,2.61507333897e-14,1.0985966243e-08,1.57431357469e-05,1.20674719487e-08,8.54948808864e-06,4.937808157e-10,7.68889522494e-07,3.18721058143e-06,2.7852011292e-06,1.41904698405e-10,1.90276674182e-14,6.80704770008e-19,2.3990047087e-09,1.58133347622e-13,6.33603780672e-12,2.50627461256e-09,1.01092669831e-13,9.52109337847e-15,5.48667126062e-10,2.88755917749e-16,1.89693808913e-09,1.54817161797e-08,0.000748931411015,7.47568485981e-12
9.1552734375e-09,0.484121465904,0.0,633.486510163,1.3736222143368344,-4.28735196327e-20,0.0316207622031,7.86905530752e-06,2.23283106031e-09,0.141208242426,2.43620789315e-05,9.71604767906e-05,2.32261460104e-07,1.15239828918e-06,0.0647980542484,0.000151159918414,0.0497067409657,0.0136631448688,1.79556679079e-12,6.28522668125e-12,0.112188380917,0.0674474894881,0.0440176085616,0.105264612808,0.00262384093724,0.012453849457,2.90762471946e-11,7.08960924942e-05,8.54682640308e-09,7.59524399026e-11,0.000328578132871,0.129308332509,1.10935428882e-10,6.17151864428e-10,7.02775853741e-05,0.00131793931011,0.000460221555441,0.000106593384105,8.35839880192e-09,2.96947771813e-10,3.19634383857e-05,0.000681448078597,0.0225299720823,5.42363994421e-07,0.000908876464029,0.00859851426522,0.150763380193,1.15937125393e-06,0.00346085203972,0.0349592448033,1.99120076018e-10,1.95029441045e-14,2.08457721534e-06,2.01423630754e-05,3.72276853298e-15,0.000291919570352,3.61341203054e-07,2.46410401099e-07,3.35261005603e-06,1.99110165883e-05,8.45951073376e-06,5.2537593923e-10,6.09751674903e-15,1.06486968873e-08,1.57431260099e-05,1.20678719591e-08,8.54922508006e-06,4.92486347149e-10,7.68900693954e-07,3.18701506405e-06,2.78510788913e-06,1.41844705885e-10,5.6268761549e-15,6.81336098638e-19,2.39905655063e-09,1.5813915262e-13,6.33827712416e-12,2.50641290705e-09,1.01099824924e-13,9.5216558143e-15,5.48669575171e-10,2.55858539902e-16,1.89708908172e-09,1.5482690524e-08,0.000748967287356,7.47745494312e-12
1.02996826172e-08,0.484138339605,0.0,633.499155629,1.3735743394011415,-4.28729605965e-20,0.0316208842309,7.86902240824e-06,2.23284752442e-09,0.141209410082,2.43622979088e-05,9.71617450577e-05,2.32264764202e-07,1.15241778738e-06,0.0647973805086,0.000150981086501,0.0497074655506,0.0136633983768,1.79557801203e-12,6.28529722398e-12,0.112189542256,0.0674473644348,0.0440177505225,0.105264607898,0.00262388181226,0.0124539817416,2.9077029734e-11,7.08977668346e-05,8.54693337795e-09,7.58719921263e-11,0.000328582826853,0.129309305886,1.10937501112e-10,6.17164170915e-10,7.02792275442e-05,0.00131796830333,0.000460230432297,0.000106596124255,8.35857875614e-09,2.96953520902e-10,3.19641595217e-05,0.000681462047877,0.0225303881166,5.42376566044e-07,0.000908898355693,0.00859873472435,0.150759222965,1.15945407601e-06,0.00346109339069,0.0349587665558,1.67702359708e-10,1.65215394728e-14,1.97841777365e-06,2.01303761622e-05,3.28254103973e-15,0.000291939546179,3.61348087583e-07,2.46418715483e-07,3.35083074728e-06,1.99115021331e-05,8.45977388833e-06,5.25389631245e-10,1.42175267703e-15,1.03216779407e-08,1.57431076464e-05,1.20682720005e-08,8.54896209543e-06,4.91195129558e-10,7.68911864204e-07,3.18681955347e-06,2.7850146557e-06,1.41784737105e-10,1.663883462e-15,6.81968028121e-19,2.39910852819e-09,1.58145001064e-13,6.34051745068e-12,2.50655121941e-09,1.01107212209e-13,9.52223165246e-15,5.48672026583e-10,2.26691654559e-16,1.89724654277e-09,1.54836788693e-08,0.000749003166899,7.47937530177e-12
