          x(cm)         Temp(K)           dT/dx            HMX        INT249a         t_HONO             NO            NO2         c_HONO          ONNO2            H2O        INT202a        INT202c        INT206e            N2O        INT248a        INT233a        INT101a     INT202c_RO     INT128a_RO        CH2NNO2        INT128a            TAZ        INT132a        INT235b        INT189b        INT251c        INT205c        INT148a        CH2NCHO         INT91a        INT177a        INT120b           CH2O            HCN           CH2N         CH2NNO        INT121a        INT150a         INT75a         INT74a          CH2NH        INT186b     INT186b_RO        INT112c        INT112a        INT232a    INT233a_RO1        INT159a       CH2NHCHO         INT86a        INT265a     INT235a_RO        INT161a        INT251d        INT177b        INT133a    INT103c_cis            HNO             CO         CH2NCO         INT76a         NH2CHO          NH2NO        INT105a         INT75f            N2H        INT206a        INT206b        INT235a     INT159a_RO         INT85d          HCOOH         INT88d        INT162b        INT132d         INT85b        INT161f        INT131b         INT87d        INT115a        INT114a        INT131a        INT207a        INT177c        INT191b        INT161b           HNCO         INT90b            CO2           ONNH          NH2CO         INT84f           OCHO            HCO         INT77a           HOCO       CH2NCOOH         ONTNTA        INT295a        INT296a     INT296a_RO        INT325a    INT325a_RO1    INT325a_RO2        INT279a        INT279b        INT280a     INT280a_RO        INT281a        INT103e             N2
       0.000000         553.000       1.144E+04      1.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00
       0.000010         553.114       1.144E+04      1.000E+00      2.942E-07      4.251E-08      4.499E-12      3.615E-11      1.282E-08      1.953E-15      2.702E-12      9.697E-15      1.213E-14      2.822E-11      1.696E-11      9.663E-23      1.915E-25      4.688E-17      2.965E-22      6.284E-23      1.817E-11      4.402E-19      5.877E-23      1.047E-14      4.063E-24      6.742E-21      3.676E-24      5.351E-21      3.921E-27      1.279E-22      4.866E-24      1.718E-37      6.754E-27      1.094E-17      1.911E-14      6.276E-14      3.807E-21      5.679E-20      5.853E-29      1.484E-23      1.227E-18      2.698E-17      6.931E-36      1.203E-43      1.546E-45      2.186E-40      1.240E-27      2.877E-32      7.701E-34      9.365E-16      2.138E-11      8.365E-36      5.370E-38      3.367E-38      8.397E-38      5.944E-38      6.091E-36      1.537E-36      1.300E-20      7.179E-33      4.951E-32      1.524E-23      6.730E-25      7.616E-27      6.382E-29      7.666E-33      7.579E-30      3.284E-42      6.164E-41      2.207E-41      2.702E-45      4.470E-45      1.257E-18      5.619E-27      6.643E-24      1.940E-27      9.438E-26      1.267E-38      1.544E-41      2.578E-35      4.117E-35      8.186E-48      7.119E-35      3.935E-49      2.726E-52      4.592E-49      4.940E-52      8.923E-42      2.117E-53      5.787E-40      3.582E-26      3.081E-35      2.310E-56      9.842E-34      2.103E-26      2.001E-29      7.820E-31      4.081E-39      1.410E-17      1.696E-17      2.917E-16      4.099E-14      5.804E-24      5.869E-24      4.389E-24      1.528E-22      1.199E-34      9.228E-33      6.138E-32      7.237E-36      6.196E-38      7.322E-22
       0.000020         553.229       1.145E+04      1.000E+00      5.902E-07      8.512E-08      3.486E-11      3.004E-10      2.568E-08      7.842E-15      2.093E-11      3.840E-14      4.826E-14      1.340E-10      1.316E-10      1.609E-21      4.930E-24      3.329E-16      1.184E-21      4.432E-22      1.694E-10      3.342E-18      8.202E-22      4.983E-14      3.269E-23      1.019E-19      2.960E-23      8.093E-20      5.565E-26      1.630E-20      1.794E-22      4.840E-36      2.595E-25      1.905E-16      3.343E-13      1.097E-12      5.118E-19      1.932E-18      2.155E-27      5.163E-22      1.171E-17      1.607E-15      3.091E-34      5.383E-42      7.199E-44      1.638E-38      3.770E-26      7.430E-31      3.431E-32      8.801E-15      2.013E-10      5.130E-34      3.299E-36      2.069E-36      5.087E-36      3.602E-36      3.823E-33      1.031E-33      2.740E-18      1.691E-30      8.244E-29      2.013E-21      1.437E-22      1.633E-24      2.233E-26      2.689E-30      4.157E-27      2.892E-40      5.430E-39      1.606E-39      1.210E-43      2.002E-43      4.300E-17      1.897E-25      3.188E-22      9.337E-26      7.184E-24      4.582E-36      5.593E-39      2.697E-32      4.283E-33      7.395E-45      7.299E-33      1.992E-46      1.383E-49      2.273E-46      2.450E-49      5.339E-37      6.860E-48      4.272E-36      1.010E-24      1.021E-31      5.029E-53      4.190E-31      4.896E-24      1.154E-27      3.537E-28      5.575E-35      2.031E-16      1.416E-16      1.173E-15      1.648E-13      4.667E-23      4.721E-23      3.533E-23      2.371E-21      1.393E-32      4.706E-31      3.132E-30      4.376E-34      6.952E-35      1.114E-20
       0.000030         553.343       1.145E+04      1.000E+00      8.876E-07      1.279E-07      1.162E-10      1.033E-09      3.858E-08      1.773E-14      6.977E-11      8.642E-14      1.091E-13      3.207E-10      4.389E-10      8.321E-21      3.373E-23      1.041E-15      2.686E-21      1.437E-21      6.033E-10      1.113E-17      3.938E-21      1.195E-13      1.113E-22      5.006E-19      1.008E-22      3.978E-19      2.616E-25      2.679E-19      1.418E-21      3.411E-35      2.104E-24      9.926E-16      1.743E-12      5.709E-12      8.580E-18      1.478E-17      1.721E-26      3.959E-21      4.215E-17      1.727E-14      2.936E-33      5.126E-41      7.092E-43      2.112E-37      2.818E-25      5.097E-30      3.255E-31      3.151E-14      7.245E-10      5.604E-33      3.609E-35      2.264E-35      5.537E-35      3.921E-35      1.285E-31      3.568E-32      6.023E-17      7.482E-29      4.781E-27      3.115E-20      3.054E-21      3.475E-23      6.002E-25      7.239E-29      1.468E-25      3.757E-39      7.056E-38      1.888E-38      1.153E-42      1.906E-42      3.301E-16      1.442E-24      2.878E-21      8.445E-25      8.727E-23      1.194E-34      1.459E-37      1.235E-30      6.374E-32      3.257E-43      1.080E-31      6.268E-45      4.358E-48      7.056E-45      7.615E-48      1.550E-34      2.979E-45      5.035E-34      7.197E-24      8.947E-30      4.031E-51      1.284E-29      1.141E-22      1.201E-26      1.135E-26      8.288E-33      9.819E-16      4.897E-16      2.653E-15      3.727E-13      1.588E-22      1.607E-22      1.203E-22      1.187E-20      2.231E-31      4.600E-30      3.063E-29      4.757E-33      3.284E-33      5.542E-20
       0.000040         553.458       1.145E+04      1.000E+00      1.186E-06      1.707E-07      2.750E-10      2.493E-09      5.153E-08      3.168E-14      1.651E-10      1.539E-13      1.951E-13      5.885E-10      1.039E-09      2.709E-20      1.384E-22      2.321E-15      4.821E-21      3.365E-21      1.472E-09      2.640E-17      1.231E-20      2.199E-13      2.663E-22      1.580E-18      2.415E-22      1.256E-18      7.845E-25      2.192E-18      6.312E-21      1.375E-34      9.382E-24      3.227E-15      5.673E-12      1.852E-11      6.907E-17      6.451E-17      7.607E-26      1.747E-20      1.036E-16      1.007E-13      1.578E-32      2.765E-40      3.971E-42      1.478E-36      1.207E-24      2.099E-29      1.747E-30      7.707E-14      1.786E-09      3.261E-32      2.106E-34      1.321E-34      3.217E-34      2.278E-34      2.141E-30      6.141E-31      6.490E-16      2.688E-27      1.444E-25      2.549E-19      3.332E-20      3.797E-22      7.769E-24      9.395E-28      2.550E-24      2.725E-38      5.121E-37      1.166E-37      6.221E-42      1.028E-41      1.443E-15      6.252E-24      1.389E-20      4.088E-24      5.332E-22      1.533E-33      1.879E-36      2.612E-29      4.939E-31      6.665E-42      8.340E-31      9.885E-44      6.892E-47      1.094E-43      1.184E-46      2.496E-32      6.477E-43      3.919E-32      3.030E-23      3.826E-28      1.178E-49      1.853E-28      1.306E-21      6.762E-26      1.750E-25      6.938E-31      3.074E-15      1.187E-15      4.738E-15      6.656E-13      3.799E-22      3.846E-22      2.882E-22      3.788E-20      1.756E-30      2.560E-29      1.706E-28      2.757E-32      7.106E-32      1.785E-19
       0.000050         553.572       1.145E+04      1.000E+00      1.484E-06      2.138E-07      5.387E-10      4.947E-09      6.454E-08      4.983E-14      3.234E-10      2.410E-13      3.067E-13      9.377E-10      2.034E-09      6.775E-20      4.317E-22      4.286E-15      7.606E-21      6.563E-21      2.923E-09      5.186E-17      3.033E-20      3.511E-13      5.256E-22      3.909E-18      4.769E-22      3.109E-18      1.820E-24      1.203E-17      2.050E-20      4.033E-34      2.979E-23      8.114E-15      1.427E-11      4.640E-11      3.556E-16      2.065E-16      2.404E-25      5.577E-20      2.068E-16      4.172E-13      6.346E-32      1.118E-39      1.683E-41      7.766E-36      3.761E-24      6.570E-29      7.014E-30      1.530E-13      3.587E-09      1.312E-31      8.493E-34      5.327E-34      1.295E-33      9.170E-34      2.415E-29      7.076E-30      4.561E-15      7.781E-26      2.902E-24      1.431E-18      2.542E-19      2.899E-21      6.410E-23      7.778E-27      2.974E-23      1.502E-37      2.823E-36      4.889E-37      2.516E-41      4.153E-41      4.614E-15      1.984E-23      4.683E-20      1.382E-23      2.178E-21      1.141E-32      1.402E-35      3.623E-28      2.651E-30      8.857E-41      4.464E-30      1.053E-42      7.352E-46      1.151E-42      1.248E-45      3.438E-30      1.400E-40      2.423E-30      9.536E-23      1.062E-26      1.727E-48      1.637E-27      9.743E-21      2.675E-25      1.710E-24      3.919E-29      7.577E-15      2.368E-15      7.434E-15      1.044E-12      7.496E-22      7.590E-22      5.692E-22      9.343E-20      9.028E-30      1.044E-28      6.959E-28      1.108E-31      1.003E-30      4.557E-19
       0.000060         553.687       1.146E+04      1.000E+00      1.782E-06      2.570E-07      9.349E-10      8.668E-09      7.761E-08      7.232E-14      5.613E-10      3.479E-13      4.443E-13      1.368E-09      3.528E-09      1.434E-19      1.106E-21      7.025E-15      1.106E-20      1.138E-20      5.098E-09      9.030E-17      6.388E-20      5.135E-13      9.187E-22      8.241E-18      8.340E-22      6.560E-18      3.591E-24      4.739E-17      5.345E-20      9.658E-34      7.618E-23      1.723E-14      3.034E-11      9.802E-11      1.337E-15      5.329E-16      6.134E-25      1.437E-19      3.625E-16      1.324E-12      2.011E-31      3.558E-39      5.617E-41      3.061E-35      9.527E-24      1.690E-28      2.218E-29      2.658E-13      6.329E-09      4.103E-31      2.661E-33      1.669E-33      4.052E-33      2.870E-33      1.541E-28      4.567E-29      2.162E-14      9.962E-25      2.852E-23      5.620E-18      1.256E-18      1.433E-20      3.320E-22      4.037E-26      1.972E-22      5.978E-37      1.124E-35      1.569E-36      8.009E-41      1.321E-40      1.186E-14      5.074E-23      1.250E-19      3.700E-23      6.834E-21      5.603E-32      6.888E-35      2.761E-27      1.036E-29      6.609E-40      1.743E-29      6.507E-42      4.547E-45      7.065E-42      7.663E-45      1.109E-28      5.309E-39      5.309E-29      2.446E-22      1.295E-25      1.592E-47      9.080E-27      4.868E-20      8.125E-25      1.032E-23      7.494E-28      1.595E-14      4.171E-15      1.074E-14      1.509E-12      1.310E-21      1.327E-21      9.956E-22      1.957E-19      3.436E-29      3.310E-28      2.207E-27      3.459E-31      7.739E-30      9.995E-19
       0.000070         553.801       1.146E+04      1.000E+00      2.079E-06      3.005E-07      1.492E-09      1.393E-08      9.074E-08      9.941E-14      8.958E-10      4.747E-13      6.082E-13      1.879E-09      5.623E-09      2.697E-19      2.431E-21      1.061E-14      1.519E-20      1.817E-20      8.135E-09      1.446E-16      1.200E-19      7.071E-13      1.477E-21      1.549E-17      1.342E-21      1.234E-17      6.355E-24      1.402E-16      1.183E-19      2.005E-33      1.666E-22      3.245E-14      5.719E-11      1.834E-10      3.848E-15      1.171E-15      1.340E-24      3.132E-19      5.810E-16      3.385E-12      5.181E-31      9.196E-39      1.505E-40      9.124E-35      2.072E-23      3.726E-28      5.704E-29      4.214E-13      1.021E-08      1.043E-30      6.770E-33      4.247E-33      1.030E-32      7.296E-33      5.818E-28      1.734E-28      7.133E-14      4.776E-24      1.273E-22      1.619E-17      4.194E-18      4.786E-20      1.137E-21      1.383E-25      7.617E-22      1.747E-36      3.284E-35      4.055E-36      2.069E-40      3.411E-40      2.593E-14      1.106E-22      2.818E-19      8.359E-23      1.743E-20      1.869E-31      2.299E-34      1.128E-26      3.057E-29      2.682E-39      5.137E-29      2.425E-41      1.695E-44      2.623E-41      2.846E-44      6.120E-28      2.970E-38      2.806E-28      5.368E-22      6.135E-25      7.043E-47      3.242E-26      1.655E-19      2.006E-24      3.843E-23      3.880E-27      2.994E-14      6.738E-15      1.467E-14      2.060E-12      2.105E-21      2.133E-21      1.601E-21      3.652E-19      9.999E-29      8.375E-28      5.586E-27      8.785E-31      3.179E-29      1.959E-18
       0.000080         553.916       1.146E+04      1.000E+00      2.375E-06      3.441E-07      2.238E-09      2.102E-08      1.039E-07      1.314E-13      1.344E-09      6.218E-13      7.988E-13      2.471E-09      8.424E-09      4.640E-19      4.680E-21      1.513E-14      2.003E-20      2.729E-20      1.217E-08      2.175E-16      2.056E-19      9.319E-13      2.235E-21      2.655E-17      2.031E-21      2.116E-17      1.038E-23      3.363E-16      2.287E-19      3.751E-33      3.253E-22      5.556E-14      9.798E-11      3.119E-10      9.399E-15      2.253E-15      2.617E-24      6.032E-19      8.729E-16      7.244E-12      1.115E-30      1.985E-38      3.334E-40      2.163E-34      4.030E-23      7.192E-28      1.226E-28      6.255E-13      1.544E-08      2.304E-30      1.499E-32      9.402E-33      2.281E-32      1.615E-32      1.764E-27      5.260E-28      1.854E-13      1.656E-23      4.334E-22      3.935E-17      1.095E-17      1.251E-19      3.159E-21      3.864E-25      2.219E-21      4.204E-36      7.905E-35      9.039E-36      4.466E-40      7.358E-40      4.959E-14      2.116E-22      5.610E-19      1.667E-22      3.871E-20      5.288E-31      6.523E-34      3.826E-26      7.317E-29      9.409E-39      1.229E-28      7.502E-41      5.266E-44      8.117E-41      8.843E-44      4.321E-27      5.230E-37      1.209E-27      1.033E-21      2.510E-24      2.821E-46      9.075E-26      4.421E-19      4.192E-24      1.097E-22      1.775E-26      5.125E-14      1.022E-14      1.921E-14      2.697E-12      3.184E-21      3.227E-21      2.424E-21      6.246E-19      2.485E-28      1.809E-27      1.207E-26      1.942E-30      1.085E-28      3.493E-18
       0.000090         554.031       1.147E+04      1.000E+00      2.668E-06      3.879E-07      3.204E-09      3.023E-08      1.172E-07      1.690E-13      1.924E-09      7.894E-13      1.016E-12      3.142E-09      1.203E-08      7.536E-19      8.332E-21      2.062E-14      2.557E-20      3.913E-20      1.734E-08      3.121E-16      3.306E-19      1.188E-12      3.236E-21      4.278E-17      2.943E-21      3.410E-17      1.600E-23      7.414E-16      4.090E-19      6.617E-33      5.987E-22      8.910E-14      1.573E-10      4.961E-10      2.141E-14      4.011E-15      4.820E-24      1.086E-18      1.248E-15      1.420E-11      2.192E-30      3.917E-38      6.746E-40      4.642E-34      7.378E-23      1.285E-27      2.406E-28      8.816E-13      2.223E-08      4.791E-30      3.124E-32      1.959E-32      4.754E-32      3.367E-32      4.903E-27      1.465E-27      4.420E-13      5.284E-23      1.358E-21      8.859E-17      2.608E-17      2.983E-19      8.120E-21      9.987E-25      5.908E-21      9.290E-36      1.748E-34      1.893E-35      8.815E-40      1.451E-39      8.766E-14      3.748E-22      1.048E-18      3.123E-22      8.068E-20      1.410E-30      1.746E-33      1.182E-25      1.611E-28      3.004E-38      2.707E-28      2.137E-40      1.507E-43      2.311E-40      2.529E-43      2.329E-26      3.428E-36      4.851E-27      1.843E-21      9.360E-24      1.034E-45      2.339E-25      1.086E-18      8.055E-24      2.870E-22      7.287E-26      8.237E-14      1.476E-14      2.436E-14      3.420E-12      4.609E-21      4.673E-21      3.513E-21      1.009E-18      5.785E-28      3.626E-27      2.422E-26      4.038E-30      3.373E-28      5.877E-18
