AR                   0                      136.50            3.33              0.00                 00.00           0.00           
HONO                 2                      326.03            4.10              1.61                 2.78            2.00           
H2CN                 2                      231.05            4.85              2.56                 2.72            2.00           
H2CNH                2                      390.62            4.39              2.15                 3.11            2.00           
H2CNNO               2                      410.47            4.86              3.16                 5.07            2.00           
H2CNNO2              2                      442.41            4.97              3.96                 5.54            2.00           
H2CNO                2                      290.98            4.54              2.36                 3.80            2.00           
C2N2                 1                      151.67            6.17              0.86                 4.79            2.00           
CH2O                 2                      179.89            4.24              2.46                 2.33            2.00           
CN                   1                       68.07            5.56              1.40                 2.93            2.00           
CNO                  1                      116.22            5.37              0.88                 3.20            2.00           
CO                   1                       48.43            5.43              0.07                 1.75            2.00           
CO2                  1                      102.99            5.22              0.00                 2.17            2.00           
H                    0                      172.86            2.24              0.00                 0.09            2.00           
H2                   1                      496.57            2.41              0.00                 0.45            2.00           
H2O                  2                      311.16            3.38              2.16                 1.09            2.00           
H2O2                 2                      345.13            3.80              1.73                 1.90            2.00           
HCN                  1                      123.73            5.40              3.06                 2.15            2.00           
HCNO                 2                      179.56            5.20              3.32                 3.30            2.00           
HCO                  2                       98.17            4.95              1.72                 2.23            2.00           
HNC                  1                      166.27            5.29              3.07                 2.40            2.00           
HNCO                 2                      228.49            5.09              2.27                 2.99            2.00           
HNO                  2                      289.15            3.76              1.79                 1.87            2.00           
HNO3                 2                      369.57            4.41              2.38                 3.49            2.00           
HO2                  2                      202.52            3.79              2.38                 1.62            2.00           
HOCN                 2                      215.92            5.04              3.98                 2.92            2.00           
N                    0                       80.29            3.45              0.00                 0.70            2.00           
N2                   1                      234.93            3.77              0.00                 1.53            2.00           
N2O                  2                      285.58            4.08              0.13                 2.51            2.00           
NCN                  1                      156.43            5.55              0.00                 3.27            2.00           
NH                   1                      258.88            3.43              1.71                 1.11            2.00           
NH2                  2                      498.18            3.46              2.08                 1.45            2.00           
NH3                  2                      759.99            3.45              1.69                 1.75            2.00           
NNH                  2                      428.54            3.75              2.00                 2.22            2.00           
NO                   1                      145.00            3.76              0.10                 1.39            2.00           
NO2                  2                      203.22            4.10              0.34                 2.43            2.00           
NO3                  2                      247.74            4.40              0.00                 3.83            2.00           
O                    0                       34.06            3.54              0.00                 0.40            2.00           
O2                   1                       97.75            3.80              0.00                 1.17            2.00           
NCO                  1                      127.23            5.40              0.70                 2.76            2.00           
OH                   1                      134.35            3.34              1.83                 0.75            2.00           
HMXR                 2                     1456.98            7.00              8.77                 18.87           2.00           
HMXRO                2                     1433.43            7.13              5.82                 19.65           2.00           
HMX                  2                     1536.53            7.27              9.34                 21.58           2.00                      
!     
HCOOH                2                      277.54            4.00              1.48                 2.86            2.00           
HOCO                 2                      176.21            4.23              3.14                 2.90            2.00           
OCHO                 2                      174.56            4.42              1.68                 3.52            2.00           
ONNO2                2                      343.58            4.23              2.36                 4.72            2.00           
ONTNTA               2                     1601.21            5.66              9.88                19.34            2.00           
INT279a              2                     1523.33            5.67              5.14                20.43            2.00           
INT249a              2                     1362.99            7.02              7.66                18.85            2.00           
INT202a              2                     1203.39            6.78              4.83                16.63            2.00           
INT101a              2                      636.44            5.77              5.11                 8.94            2.00           
INT121a              2                      788.09            5.50              3.55                 8.21            2.00           
INT121b              2                      823.91            5.50              3.88                 8.57            2.00           
INT90a               2                      552.11            5.07              0.68                 6.28            2.00           
INT62a               2                      639.13            4.41              2.14                 4.24            2.00           
INT206e              2                     1345.46            5.40              4.13                15.77            2.00           
INT132a              2                      976.35            5.00              2.93                11.16            2.00           
INT86a               2                      839.51            4.87              2.17                 7.90            2.00           
INT86e               2                      952.86            4.80              1.49                 7.50            2.00           
INT162b              2                     1179.14            5.17              0.96                12.37            2.00           
INT132d              2                     1040.33            4.89              3.19                10.54            2.00           
CH2NHCHO             2                      494.00            4.58              4.05                 5.55            2.00           
CH2NCO               2                      270.99            4.92              2.41                 4.94            2.00           
INT105a              2                      793.25            4.62              4.16                 7.14            2.00           
INT75f               2                      613.56            4.21              1.91                 5.03            2.00           
INT120b              2                      630.60            4.61              3.61                 8.06            2.00
INT295a              2                     1513.60            5.73              5.77                20.91            2.00    
INT250a              2                     1385.20            5.55              7.54                17.05            2.00           
INT220a              2                     1385.20            5.55              7.54                17.05            2.00           
INT191d              2                     1385.20            5.55              7.54                17.05            2.00           
INT117b              2                     1385.20            5.55              7.54                17.05            2.00       
INT74a               2                      515.73            4.82              3.26                 5.37            2.00           
INT92a               2                      822.22            4.44              5.96                 6.66            2.00      
INT232a              2                     1334.47            5.58              6.45                19.15            2.00           
INT233a              2                     1385.20            5.55              7.54                17.05            2.00           
RDXRO                2                     1074.99            6.49              4.13                13.95            2.00           
INT176               2                     1091.04            6.50              6.56                14.03            2.00           
INT149               2                     1000.62            5.97              3.85                12.05            2.00           
MNH                  2                      585.41            4.92              4.76                 6.73            2.00           
                              
